phenoname,ancestry,trait_type,category,n_cases,n_controls,description,phecode_category,description_more
563,eur,binary,phecode,2271,88102,Constipation,Digestive,NA
564,afr,binary,phecode,709,37657,Functional digestive disorders,Digestive,NA
564,amr,binary,phecode,562,30015,Functional digestive disorders,Digestive,NA
564,eur,binary,phecode,4227,86999,Functional digestive disorders,Digestive,NA
564.1,afr,binary,phecode,287,39581,Irritable Bowel Syndrome,Digestive,NA
564.1,amr,binary,phecode,224,31529,Irritable Bowel Syndrome,Digestive,NA
564.1,eur,binary,phecode,2547,93135,Irritable Bowel Syndrome,Digestive,NA
565,afr,binary,phecode,648,38392,Anal and rectal conditions,Digestive,NA
565,amr,binary,phecode,508,30806,Anal and rectal conditions,Digestive,NA
565,eur,binary,phecode,2205,92516,Anal and rectal conditions,Digestive,NA
565.1,eur,binary,phecode,280,96749,Anal and rectal polyp,Digestive,NA
567,eur,binary,phecode,390,98266,Peritonitis and retroperitoneal infections,Digestive,NA
568,eur,binary,phecode,256,97516,Other disorders of peritoneum,Digestive,NA
569,afr,binary,phecode,367,38900,Other disorders of intestine,Digestive,NA
569,amr,binary,phecode,308,31007,Other disorders of intestine,Digestive,NA
569,eur,binary,phecode,1500,93472,Other disorders of intestine,Digestive,NA
569.2,eur,binary,phecode,336,97984,Gastrointestinal complications,Digestive,NA
571,afr,binary,phecode,875,37792,Chronic liver disease and cirrhosis,Digestive,NA
571,amr,binary,phecode,1379,28525,Chronic liver disease and cirrhosis,Digestive,NA
571,eur,binary,phecode,3391,89942,Chronic liver disease and cirrhosis,Digestive,NA
571.5,afr,binary,phecode,786,37883,Other chronic nonalcoholic liver disease,Digestive,NA
571.5,amr,binary,phecode,1271,28599,Other chronic nonalcoholic liver disease,Digestive,NA
571.5,eur,binary,phecode,3099,90178,Other chronic nonalcoholic liver disease,Digestive,NA
571.51,afr,binary,phecode,269,39826,Cirrhosis of liver without mention of alcohol,Digestive,NA
571.51,amr,binary,phecode,299,31686,Cirrhosis of liver without mention of alcohol,Digestive,NA
571.51,eur,binary,phecode,749,97850,Cirrhosis of liver without mention of alcohol,Digestive,NA
571.8,eur,binary,phecode,419,98551,Liver abscess and sequelae of chronic liver disease,Digestive,NA
573,afr,binary,phecode,448,38879,Other disorders of liver,Digestive,NA
573,amr,binary,phecode,359,30927,Other disorders of liver,Digestive,NA
573,eur,binary,phecode,1409,94573,Other disorders of liver,Digestive,NA
573.3,eur,binary,phecode,216,97636,Hepatomegaly,Digestive,NA
574,afr,binary,phecode,811,38675,Cholelithiasis and cholecystitis,Digestive,NA
574,amr,binary,phecode,1351,29976,Cholelithiasis and cholecystitis,Digestive,NA
574,eur,binary,phecode,3210,93097,Cholelithiasis and cholecystitis,Digestive,NA
574.1,afr,binary,phecode,607,38905,Cholelithiasis,Digestive,NA
574.1,amr,binary,phecode,981,30304,Cholelithiasis,Digestive,NA
574.1,eur,binary,phecode,2150,94213,Cholelithiasis,Digestive,NA
574.2,eur,binary,phecode,406,98276,Calculus of bile duct,Digestive,NA
574.3,amr,binary,phecode,255,31553,Cholecystitis without cholelithiasis,Digestive,NA
574.3,eur,binary,phecode,539,97650,Cholecystitis without cholelithiasis,Digestive,NA
575,afr,binary,phecode,460,38894,Other biliary tract disease,Digestive,NA
575,amr,binary,phecode,427,30744,Other biliary tract disease,Digestive,NA
575,eur,binary,phecode,1415,95045,Other biliary tract disease,Digestive,NA
575.7,eur,binary,phecode,231,97843,Other disorders of gallbladder,Digestive,NA
575.8,eur,binary,phecode,302,98046,Other disorders of biliary tract,Digestive,NA
577,afr,binary,phecode,412,39522,Diseases of pancreas,Digestive,NA
577,amr,binary,phecode,338,31541,Diseases of pancreas,Digestive,NA
577,eur,binary,phecode,1411,96480,Diseases of pancreas,Digestive,NA
577.2,eur,binary,phecode,208,98893,Chronic pancreatitis,Digestive,NA
577.3,eur,binary,phecode,342,98454,Cyst and pseudocyst of pancreas,Digestive,NA
578,afr,binary,phecode,1603,36761,Gastrointestinal hemorrhage,Digestive,NA
578,amr,binary,phecode,1156,29618,Gastrointestinal hemorrhage,Digestive,NA
578,eur,binary,phecode,4425,88814,Gastrointestinal hemorrhage,Digestive,NA
578.2,afr,binary,phecode,245,38569,Blood in stool,Digestive,NA
578.2,amr,binary,phecode,232,30992,Blood in stool,Digestive,NA
578.2,eur,binary,phecode,728,94338,Blood in stool,Digestive,NA
578.8,afr,binary,phecode,312,38532,Hemorrhage of rectum and anus,Digestive,NA
578.8,amr,binary,phecode,269,30878,Hemorrhage of rectum and anus,Digestive,NA
578.8,eur,binary,phecode,1094,93589,Hemorrhage of rectum and anus,Digestive,NA
578.9,eur,binary,phecode,424,96755,Hemorrhage of gastrointestinal tract,Digestive,NA
579,afr,binary,phecode,361,38988,Other symptoms involving abdomen and pelvis,Digestive,NA
579,amr,binary,phecode,329,31055,Other symptoms involving abdomen and pelvis,Digestive,NA
579,eur,binary,phecode,1314,94506,Other symptoms involving abdomen and pelvis,Digestive,NA
579.2,eur,binary,phecode,272,98054,Splenomegaly,Digestive,NA
579.8,eur,binary,phecode,662,95276,Nonspecific abnormal findings in stool contents,Digestive,NA
580,afr,binary,phecode,373,39536,Nephritis; nephrosis; renal sclerosis,Genitourinary,NA
580,amr,binary,phecode,289,31482,Nephritis; nephrosis; renal sclerosis,Genitourinary,NA
580,eur,binary,phecode,538,97848,Nephritis; nephrosis; renal sclerosis,Genitourinary,NA
580.3,eur,binary,phecode,217,98597,Nephritis and nephropathy without mention of glomerulonephritis,Genitourinary,NA
585,afr,binary,phecode,3364,34567,Renal failure,Genitourinary,NA
585,amr,binary,phecode,1907,29164,Renal failure,Genitourinary,NA
585,eur,binary,phecode,6143,88082,Renal failure,Genitourinary,NA
585.1,afr,binary,phecode,1074,36338,Acute renal failure,Genitourinary,NA
585.1,amr,binary,phecode,750,30127,Acute renal failure,Genitourinary,NA
585.1,eur,binary,phecode,1806,92500,Acute renal failure,Genitourinary,NA
585.3,afr,binary,phecode,2111,36914,Chronic renal failure [CKD],Genitourinary,NA
585.3,amr,binary,phecode,1203,30345,Chronic renal failure [CKD],Genitourinary,NA
585.3,eur,binary,phecode,3819,92327,Chronic renal failure [CKD],Genitourinary,NA
585.31,afr,binary,phecode,427,39726,Renal dialysis,Genitourinary,NA
585.31,amr,binary,phecode,271,31769,Renal dialysis,Genitourinary,NA
585.31,eur,binary,phecode,323,98574,Renal dialysis,Genitourinary,NA
585.32,afr,binary,phecode,525,39621,End stage renal disease,Genitourinary,NA
585.32,amr,binary,phecode,396,31690,End stage renal disease,Genitourinary,NA
585.32,eur,binary,phecode,416,98709,End stage renal disease,Genitourinary,NA
585.33,afr,binary,phecode,568,38757,"Chronic Kidney Disease, Stage III",Genitourinary,NA
585.33,amr,binary,phecode,229,31530,"Chronic Kidney Disease, Stage III",Genitourinary,NA
585.33,eur,binary,phecode,1255,95350,"Chronic Kidney Disease, Stage III",Genitourinary,NA
585.34,eur,binary,phecode,252,98448,"Chronic Kidney Disease, Stage IV",Genitourinary,NA
585.4,afr,binary,phecode,277,39213,"Chronic kidney disease, Stage I or II",Genitourinary,NA
585.4,eur,binary,phecode,538,97484,"Chronic kidney disease, Stage I or II",Genitourinary,NA
586,afr,binary,phecode,1195,37096,Other disorders of the kidney and ureters,Genitourinary,NA
586,amr,binary,phecode,800,29989,Other disorders of the kidney and ureters,Genitourinary,NA
586,eur,binary,phecode,3290,89330,Other disorders of the kidney and ureters,Genitourinary,NA
586.2,afr,binary,phecode,233,39030,"Cyst of kidney, acquired",Genitourinary,NA
586.2,eur,binary,phecode,480,95446,"Cyst of kidney, acquired",Genitourinary,NA
586.4,eur,binary,phecode,259,97209,Stricture/obstruction of ureter,Genitourinary,NA
587,afr,binary,phecode,249,40160,Kidney replaced by transpant,Genitourinary,NA
587,amr,binary,phecode,239,32041,Kidney replaced by transpant,Genitourinary,NA
587,eur,binary,phecode,332,99073,Kidney replaced by transpant,Genitourinary,NA
588,afr,binary,phecode,289,39729,Disorders resulting from impaired renal function,Genitourinary,NA
588,eur,binary,phecode,312,98535,Disorders resulting from impaired renal function,Genitourinary,NA
588.2,eur,binary,phecode,203,98770,Secondary hyperparathyroidism (of renal origin),Genitourinary,NA
590,afr,binary,phecode,347,39448,Pyelonephritis,Genitourinary,NA
590,amr,binary,phecode,642,30815,Pyelonephritis,Genitourinary,NA
590,eur,binary,phecode,974,96890,Pyelonephritis,Genitourinary,NA
591,afr,binary,phecode,1573,34380,Urinary tract infection,Genitourinary,NA
591,amr,binary,phecode,1727,26571,Urinary tract infection,Genitourinary,NA
591,eur,binary,phecode,5745,81822,Urinary tract infection,Genitourinary,NA
592,afr,binary,phecode,528,38314,Cystitis and urethritis,Genitourinary,NA
592,amr,binary,phecode,718,30123,Cystitis and urethritis,Genitourinary,NA
592,eur,binary,phecode,2628,91750,Cystitis and urethritis,Genitourinary,NA
592.1,afr,binary,phecode,461,38672,Cystitis,Genitourinary,NA
592.1,amr,binary,phecode,682,30278,Cystitis,Genitourinary,NA
592.1,eur,binary,phecode,2441,92202,Cystitis,Genitourinary,NA
592.11,afr,binary,phecode,228,39180,Acute cystitis,Genitourinary,NA
592.11,amr,binary,phecode,393,30889,Acute cystitis,Genitourinary,NA
592.11,eur,binary,phecode,1454,93999,Acute cystitis,Genitourinary,NA
593,afr,binary,phecode,701,37923,Hematuria,Genitourinary,NA
593,amr,binary,phecode,619,30004,Hematuria,Genitourinary,NA
593,eur,binary,phecode,3206,90312,Hematuria,Genitourinary,NA
593.1,eur,binary,phecode,552,96789,Gross hematuria,Genitourinary,NA
594,afr,binary,phecode,627,38887,Urinary calculus,Genitourinary,NA
594,amr,binary,phecode,1134,30045,Urinary calculus,Genitourinary,NA
594,eur,binary,phecode,4590,91033,Urinary calculus,Genitourinary,NA
594.1,afr,binary,phecode,312,39186,Calculus of kidney,Genitourinary,NA
594.1,amr,binary,phecode,578,30516,Calculus of kidney,Genitourinary,NA
594.1,eur,binary,phecode,2286,92649,Calculus of kidney,Genitourinary,NA
594.3,eur,binary,phecode,431,97289,Calculus of ureter,Genitourinary,NA
595,afr,binary,phecode,201,39854,Hydronephrosis,Genitourinary,NA
595,amr,binary,phecode,269,31447,Hydronephrosis,Genitourinary,NA
595,eur,binary,phecode,811,96812,Hydronephrosis,Genitourinary,NA
596,afr,binary,phecode,452,39008,Other disorders of bladder,Genitourinary,NA
596,amr,binary,phecode,343,31251,Other disorders of bladder,Genitourinary,NA
596,eur,binary,phecode,1831,94209,Other disorders of bladder,Genitourinary,NA
596.5,afr,binary,phecode,277,39520,Functional disorders of bladder,Genitourinary,NA
596.5,amr,binary,phecode,217,31673,Functional disorders of bladder,Genitourinary,NA
596.5,eur,binary,phecode,1051,96278,Functional disorders of bladder,Genitourinary,NA
597,eur,binary,phecode,334,98239,Other disorders of urethra and urinary tract,Genitourinary,NA
598,eur,binary,phecode,395,96116,Abnormal findings on examination of urine,Genitourinary,NA
599,afr,binary,phecode,4597,31801,Other symptoms/disorders or the urinary system,Genitourinary,NA
599,amr,binary,phecode,4072,24830,Other symptoms/disorders or the urinary system,Genitourinary,NA
599,eas,binary,phecode,317,3350,Other symptoms/disorders or the urinary system,Genitourinary,NA
599,eur,binary,phecode,17004,70425,Other symptoms/disorders or the urinary system,Genitourinary,NA
599,sas,binary,phecode,210,1942,Other symptoms/disorders or the urinary system,Genitourinary,NA
599.2,afr,binary,phecode,319,39309,Retention of urine,Genitourinary,NA
599.2,amr,binary,phecode,385,31174,Retention of urine,Genitourinary,NA
599.2,eur,binary,phecode,1852,93981,Retention of urine,Genitourinary,NA
599.3,afr,binary,phecode,809,36489,Dysuria,Genitourinary,NA
599.3,amr,binary,phecode,1116,27978,Dysuria,Genitourinary,NA
599.3,eur,binary,phecode,3613,85990,Dysuria,Genitourinary,NA
599.4,afr,binary,phecode,1177,37875,Urinary incontinence,Genitourinary,NA
599.4,amr,binary,phecode,946,30245,Urinary incontinence,Genitourinary,NA
599.4,eur,binary,phecode,4002,90682,Urinary incontinence,Genitourinary,NA
599.5,afr,binary,phecode,1339,36263,Frequency of urination and polyuria,Genitourinary,NA
599.5,amr,binary,phecode,966,29363,Frequency of urination and polyuria,Genitourinary,NA
599.5,eur,binary,phecode,5089,85513,Frequency of urination and polyuria,Genitourinary,NA
599.8,afr,binary,phecode,240,39101,Other symptoms involving urinary system,Genitourinary,NA
599.8,eur,binary,phecode,1283,93684,Other symptoms involving urinary system,Genitourinary,NA
599.9,afr,binary,phecode,315,38959,Other abnormality of urination,Genitourinary,NA
599.9,amr,binary,phecode,315,31057,Other abnormality of urination,Genitourinary,NA
599.9,eur,binary,phecode,1890,92643,Other abnormality of urination,Genitourinary,NA
600,afr,binary,phecode,819,14913,Hyperplasia of prostate,Genitourinary,NA
600,amr,binary,phecode,653,9298,Hyperplasia of prostate,Genitourinary,NA
600,eur,binary,phecode,5382,29475,Hyperplasia of prostate,Genitourinary,NA
601,afr,binary,phecode,222,15960,Inflammatory diseases of prostate,Genitourinary,NA
601,eur,binary,phecode,775,36525,Inflammatory diseases of prostate,Genitourinary,NA
601.1,eur,binary,phecode,445,37524,Prostatitis,Genitourinary,NA
603,eur,binary,phecode,360,37630,Other disorders of testis,Genitourinary,NA
604,eur,binary,phecode,358,37633,Disorders of penis,Genitourinary,NA
605,afr,binary,phecode,867,14699,Erectile dysfunction [ED],Genitourinary,NA
605,amr,binary,phecode,392,9523,Erectile dysfunction [ED],Genitourinary,NA
605,eur,binary,phecode,2794,32239,Erectile dysfunction [ED],Genitourinary,NA
608,afr,binary,phecode,228,15882,Other disorders of male genital organs,Genitourinary,NA
608,eur,binary,phecode,754,36468,Other disorders of male genital organs,Genitourinary,NA
610,afr,binary,phecode,719,22067,Benign mammary dysplasias,Genitourinary,NA
610,amr,binary,phecode,746,20161,Benign mammary dysplasias,Genitourinary,NA
610,eur,binary,phecode,2704,54628,Benign mammary dysplasias,Genitourinary,NA
610.1,afr,binary,phecode,406,22572,Cystic mastopathy,Genitourinary,NA
610.1,amr,binary,phecode,528,20452,Cystic mastopathy,Genitourinary,NA
610.1,eur,binary,phecode,1889,55661,Cystic mastopathy,Genitourinary,NA
610.4,eur,binary,phecode,282,59362,Benign neoplasm of breast,Genitourinary,NA
610.8,eur,binary,phecode,395,59608,Other specified benign mammary dysplasias,Genitourinary,NA
611,afr,binary,phecode,2594,35589,Abnormal findings on mammogram or breast exam,Genitourinary,NA
611,amr,binary,phecode,1872,28836,Abnormal findings on mammogram or breast exam,Genitourinary,NA
611,eas,binary,phecode,262,3477,Abnormal findings on mammogram or breast exam,Genitourinary,NA
611,eur,binary,phecode,7487,84836,Abnormal findings on mammogram or breast exam,Genitourinary,NA
611.1,afr,binary,phecode,1769,36434,Abnormal mammogram,Genitourinary,NA
611.1,amr,binary,phecode,1195,29655,Abnormal mammogram,Genitourinary,NA
611.1,eur,binary,phecode,5193,87633,Abnormal mammogram,Genitourinary,NA
611.3,afr,binary,phecode,256,38364,Lump or mass in breast,Genitourinary,NA
611.3,amr,binary,phecode,245,30705,Lump or mass in breast,Genitourinary,NA
611.3,eur,binary,phecode,671,93329,Lump or mass in breast,Genitourinary,NA
612,eur,binary,phecode,461,97397,"Breast conditions, congenital or relating to hormones",Genitourinary,NA
612.2,eur,binary,phecode,284,97971,Hypertrophy of breast (Gynecomastia),Genitourinary,NA
613,afr,binary,phecode,1299,36944,Other nonmalignant breast conditions,Genitourinary,NA
613,amr,binary,phecode,1275,29128,Other nonmalignant breast conditions,Genitourinary,NA
613,eur,binary,phecode,3623,89377,Other nonmalignant breast conditions,Genitourinary,NA
613.5,afr,binary,phecode,369,38603,Mastodynia,Genitourinary,NA
613.5,amr,binary,phecode,453,30336,Mastodynia,Genitourinary,NA
613.5,eur,binary,phecode,885,95136,Mastodynia,Genitourinary,NA
613.7,eur,binary,phecode,472,97019,Other signs and symptoms in breast,Genitourinary,NA
613.8,eur,binary,phecode,617,95023,Other specified disorders of breast,Genitourinary,NA
614,afr,binary,phecode,2093,18656,Inflammatory diseases of female pelvic organs,Genitourinary,NA
614,amr,binary,phecode,1502,18087,Inflammatory diseases of female pelvic organs,Genitourinary,NA
614,eur,binary,phecode,2962,52210,Inflammatory diseases of female pelvic organs,Genitourinary,NA
614.5,afr,binary,phecode,1637,19151,"Inflammatory disease of cervix, vagina, and vulva",Genitourinary,NA
614.5,amr,binary,phecode,1151,18484,"Inflammatory disease of cervix, vagina, and vulva",Genitourinary,NA
614.5,eur,binary,phecode,2419,53163,"Inflammatory disease of cervix, vagina, and vulva",Genitourinary,NA
614.52,afr,binary,phecode,1045,19863,Vaginitis and vulvovaginitis,Genitourinary,NA
614.52,amr,binary,phecode,708,18929,Vaginitis and vulvovaginitis,Genitourinary,NA
614.52,eur,binary,phecode,1499,54785,Vaginitis and vulvovaginitis,Genitourinary,NA
615,afr,binary,phecode,206,23140,Endometriosis,Genitourinary,NA
615,eur,binary,phecode,811,58565,Endometriosis,Genitourinary,NA
618,afr,binary,phecode,293,23254,Genital prolapse,Genitourinary,NA
618,amr,binary,phecode,373,21074,Genital prolapse,Genitourinary,NA
618,eur,binary,phecode,1981,57276,Genital prolapse,Genitourinary,NA
618.1,amr,binary,phecode,243,21272,Prolapse of vaginal walls,Genitourinary,NA
618.1,eur,binary,phecode,1287,58288,Prolapse of vaginal walls,Genitourinary,NA
618.2,eur,binary,phecode,545,59532,Uterine/Uterovaginal prolapse,Genitourinary,NA
619,afr,binary,phecode,1968,18458,Noninflammatory female genital disorders,Genitourinary,NA
619,amr,binary,phecode,1601,17099,Noninflammatory female genital disorders,Genitourinary,NA
619,eur,binary,phecode,4298,48751,Noninflammatory female genital disorders,Genitourinary,NA
619.1,eur,binary,phecode,254,59217,"Noninflammatory disorders of ovary, fallopian tube, and broad ligament",Genitourinary,NA
619.2,eur,binary,phecode,249,59098,"Disorders of uterus, NEC",Genitourinary,NA
619.3,eur,binary,phecode,321,59155,Noninflammatory disorders of cervix,Genitourinary,NA
619.4,afr,binary,phecode,485,20251,Noninflammatory disorders of vagina,Genitourinary,NA
619.4,amr,binary,phecode,300,18954,Noninflammatory disorders of vagina,Genitourinary,NA
619.4,eur,binary,phecode,865,54511,Noninflammatory disorders of vagina,Genitourinary,NA
619.5,eur,binary,phecode,449,58817,Noninflammatory disorders of vulva and perineum,Genitourinary,NA
622,eur,binary,phecode,590,58324,Polyp of female genital organs,Genitourinary,NA
622.1,eur,binary,phecode,209,59188,Polyp of corpus uteri,Genitourinary,NA
624.9,amr,binary,phecode,235,20742,"stress incontinence, female",Genitourinary,NA
624.9,eur,binary,phecode,801,56811,"stress incontinence, female",Genitourinary,NA
625,afr,binary,phecode,504,21079,Pain and other symptoms associated with female genital organs,Genitourinary,NA
625,amr,binary,phecode,504,19166,Pain and other symptoms associated with female genital organs,Genitourinary,NA
625,eur,binary,phecode,1603,54076,Pain and other symptoms associated with female genital organs,Genitourinary,NA
626,afr,binary,phecode,3303,18189,Disorders of menstruation and other abnormal bleeding from female genital tract,Genitourinary,NA
626,amr,binary,phecode,3027,16499,Disorders of menstruation and other abnormal bleeding from female genital tract,Genitourinary,NA
626,eas,binary,phecode,322,2000,Disorders of menstruation and other abnormal bleeding from female genital tract,Genitourinary,NA
626,eur,binary,phecode,8235,47215,Disorders of menstruation and other abnormal bleeding from female genital tract,Genitourinary,NA
626,sas,binary,phecode,202,943,Disorders of menstruation and other abnormal bleeding from female genital tract,Genitourinary,NA
626.1,afr,binary,phecode,2302,19287,Irregular menstrual cycle/bleeding,Genitourinary,NA
626.1,amr,binary,phecode,2106,17703,Irregular menstrual cycle/bleeding,Genitourinary,NA
626.1,eas,binary,phecode,211,2104,Irregular menstrual cycle/bleeding,Genitourinary,NA
626.1,eur,binary,phecode,5963,49653,Irregular menstrual cycle/bleeding,Genitourinary,NA
626.11,afr,binary,phecode,331,22442,Absent or infrequent menstruation,Genitourinary,NA
626.11,amr,binary,phecode,345,20380,Absent or infrequent menstruation,Genitourinary,NA
626.11,eur,binary,phecode,941,57093,Absent or infrequent menstruation,Genitourinary,NA
626.12,afr,binary,phecode,346,21560,Excessive or frequent menstruation,Genitourinary,NA
626.12,amr,binary,phecode,312,20134,Excessive or frequent menstruation,Genitourinary,NA
626.12,eur,binary,phecode,861,55975,Excessive or frequent menstruation,Genitourinary,NA
626.13,afr,binary,phecode,272,22014,Irregular menstrual cycle,Genitourinary,NA
626.13,amr,binary,phecode,370,19954,Irregular menstrual cycle,Genitourinary,NA
626.13,eur,binary,phecode,930,55665,Irregular menstrual cycle,Genitourinary,NA
626.14,eur,binary,phecode,259,58642,Irregular menstrual bleeding,Genitourinary,NA
626.2,eur,binary,phecode,554,58270,Dysmenorrhea,Genitourinary,NA
626.8,eur,binary,phecode,513,59352,"Infertility, female",Genitourinary,NA
627,afr,binary,phecode,1420,20285,Menopausal and postmenopausal disorders,Genitourinary,NA
627,amr,binary,phecode,1002,19125,Menopausal and postmenopausal disorders,Genitourinary,NA
627,eur,binary,phecode,7475,45328,Menopausal and postmenopausal disorders,Genitourinary,NA
627.1,eur,binary,phecode,650,57663,Postmenopausal bleeding,Genitourinary,NA
627.2,afr,binary,phecode,389,21960,Symptomatic menopause,Genitourinary,NA
627.2,amr,binary,phecode,285,20223,Symptomatic menopause,Genitourinary,NA
627.2,eur,binary,phecode,2617,51490,Symptomatic menopause,Genitourinary,NA
627.22,eur,binary,phecode,428,58697,Need for Hormone replacement therapy (postmenopausal),Genitourinary,NA
627.3,eur,binary,phecode,1216,56245,Postmenopausal atrophic vaginitis,Genitourinary,NA
627.5,eur,binary,phecode,661,58014,Premature menopause and other ovarian failure,Genitourinary,NA
628,afr,binary,phecode,296,22391,Ovarian cyst,Genitourinary,NA
628,amr,binary,phecode,322,20373,Ovarian cyst,Genitourinary,NA
628,eur,binary,phecode,889,57082,Ovarian cyst,Genitourinary,NA
634,afr,binary,phecode,455,22821,Miscarriage; stillbirth,Pregnancy,NA
634,amr,binary,phecode,525,20608,Miscarriage; stillbirth,Pregnancy,NA
634,eur,binary,phecode,763,59126,Miscarriage; stillbirth,Pregnancy,NA
635,amr,binary,phecode,338,20719,Hemorrhage during pregnancy; childbirth and postpartum,Pregnancy,NA
635,eur,binary,phecode,394,59589,Hemorrhage during pregnancy; childbirth and postpartum,Pregnancy,NA
635.2,amr,binary,phecode,249,21029,"Antepartum hemorrhage, abruptio placentae, and placenta previa",Pregnancy,NA
635.2,eur,binary,phecode,263,59953,"Antepartum hemorrhage, abruptio placentae, and placenta previa",Pregnancy,NA
636,afr,binary,phecode,1072,21988,Early or threatened labor; hemorrhage in early pregnancy,Pregnancy,NA
636,amr,binary,phecode,1265,19370,Early or threatened labor; hemorrhage in early pregnancy,Pregnancy,NA
636,eur,binary,phecode,1182,58280,Early or threatened labor; hemorrhage in early pregnancy,Pregnancy,NA
636.3,afr,binary,phecode,299,22992,Hemorrhage in early pregnancy,Pregnancy,NA
636.3,amr,binary,phecode,494,20520,Hemorrhage in early pregnancy,Pregnancy,NA
636.3,eur,binary,phecode,502,59388,Hemorrhage in early pregnancy,Pregnancy,NA
638,afr,binary,phecode,566,39611,Other high-risk pregnancy,Pregnancy,NA
638,amr,binary,phecode,486,31288,Other high-risk pregnancy,Pregnancy,NA
638,eur,binary,phecode,651,98228,Other high-risk pregnancy,Pregnancy,NA
642,afr,binary,phecode,624,22824,"Hypertension complicating pregnancy, childbirth, and the puerperium",Pregnancy,NA
642,amr,binary,phecode,479,20900,"Hypertension complicating pregnancy, childbirth, and the puerperium",Pregnancy,NA
642,eur,binary,phecode,727,59530,"Hypertension complicating pregnancy, childbirth, and the puerperium",Pregnancy,NA
642.1,afr,binary,phecode,224,23380,Preeclampsia and eclampsia,Pregnancy,NA
642.1,eur,binary,phecode,212,60276,Preeclampsia and eclampsia,Pregnancy,NA
643,afr,binary,phecode,252,23140,Excessive vomiting in pregnancy,Pregnancy,NA
643,amr,binary,phecode,205,21089,Excessive vomiting in pregnancy,Pregnancy,NA
644,afr,binary,phecode,630,22500,Anemia during pregnancy,Pregnancy,NA
644,amr,binary,phecode,465,20436,Anemia during pregnancy,Pregnancy,NA
644,eur,binary,phecode,281,59808,Anemia during pregnancy,Pregnancy,NA
646,afr,binary,phecode,1091,21903,Other complications of pregnancy NEC,Pregnancy,NA
646,amr,binary,phecode,1454,19076,Other complications of pregnancy NEC,Pregnancy,NA
646,eur,binary,phecode,1263,58068,Other complications of pregnancy NEC,Pregnancy,NA
647,afr,binary,phecode,386,22948,Infectious and parasitic complications affecting pregnancy,Pregnancy,NA
647,amr,binary,phecode,214,20973,Infectious and parasitic complications affecting pregnancy,Pregnancy,NA
647,eur,binary,phecode,228,60105,Infectious and parasitic complications affecting pregnancy,Pregnancy,NA
647.1,afr,binary,phecode,217,23063,Infections of genitourinary tract during pregnancy,Pregnancy,NA
647.1,amr,binary,phecode,223,20932,Infections of genitourinary tract during pregnancy,Pregnancy,NA
649,afr,binary,phecode,1574,21528,"Other conditions or status of the mother complicating pregnancy, childbirth, or the puerperium",Pregnancy,NA
649,amr,binary,phecode,2029,18530,"Other conditions or status of the mother complicating pregnancy, childbirth, or the puerperium",Pregnancy,NA
649,eur,binary,phecode,1718,57492,"Other conditions or status of the mother complicating pregnancy, childbirth, or the puerperium",Pregnancy,NA
649.1,afr,binary,phecode,336,23276,Diabetes or abnormal glucose tolerance complicating pregnancy,Pregnancy,NA
649.1,amr,binary,phecode,635,20800,Diabetes or abnormal glucose tolerance complicating pregnancy,Pregnancy,NA
649.1,eur,binary,phecode,623,59650,Diabetes or abnormal glucose tolerance complicating pregnancy,Pregnancy,NA
653,afr,binary,phecode,279,23088,Problems associated with amniotic cavity and membranes,Pregnancy,NA
653,amr,binary,phecode,466,20582,Problems associated with amniotic cavity and membranes,Pregnancy,NA
653,eur,binary,phecode,327,59782,Problems associated with amniotic cavity and membranes,Pregnancy,NA
654,afr,binary,phecode,294,23328,Other and unspecified complications of birth; puerperium affecting management of mother,Pregnancy,NA
654,amr,binary,phecode,456,21015,Other and unspecified complications of birth; puerperium affecting management of mother,Pregnancy,NA
654,eur,binary,phecode,810,59568,Other and unspecified complications of birth; puerperium affecting management of mother,Pregnancy,NA
655,afr,binary,phecode,1063,21939,Known or suspected fetal abnormality affecting management of mother,Pregnancy,NA
655,amr,binary,phecode,1267,19210,Known or suspected fetal abnormality affecting management of mother,Pregnancy,NA
655,eur,binary,phecode,1456,57697,Known or suspected fetal abnormality affecting management of mother,Pregnancy,NA
665,amr,binary,phecode,206,31027,Obstetrical/birth trauma,Pregnancy,NA
665,eur,binary,phecode,289,98225,Obstetrical/birth trauma,Pregnancy,NA
669,amr,binary,phecode,239,20833,Complications of labor and delivery NEC,Pregnancy,NA
669,eur,binary,phecode,301,59735,Complications of labor and delivery NEC,Pregnancy,NA
681,afr,binary,phecode,2653,34840,Superficial cellulitis and abscess,Dermatologic,NA
681,amr,binary,phecode,2346,27896,Superficial cellulitis and abscess,Dermatologic,NA
681,eur,binary,phecode,8351,83030,Superficial cellulitis and abscess,Dermatologic,NA
681.1,afr,binary,phecode,267,39388,Cellulitis and abscess of fingers/toes,Dermatologic,NA
681.1,amr,binary,phecode,262,31390,Cellulitis and abscess of fingers/toes,Dermatologic,NA
681.1,eur,binary,phecode,1167,95370,Cellulitis and abscess of fingers/toes,Dermatologic,NA
681.2,eur,binary,phecode,430,97718,Cellulitis and abscess of face/neck,Dermatologic,NA
681.3,afr,binary,phecode,235,39389,Cellulitis and abscess of arm/hand,Dermatologic,NA
681.3,amr,binary,phecode,239,31637,Cellulitis and abscess of arm/hand,Dermatologic,NA
681.3,eur,binary,phecode,837,96416,Cellulitis and abscess of arm/hand,Dermatologic,NA
