Trait,Trait_Type,Meta_Group,Category,SubCategory,Description,num_samples.META,num_cases.META,num_controls.META,num_samples.AFR,num_cases.AFR,num_controls.AFR,num_samples.AMR,num_cases.AMR,num_controls.AMR,num_samples.EAS,num_cases.EAS,num_controls.EAS,num_samples.EUR,num_cases.EUR,num_controls.EUR,dbgap_cat.AFR,dbgap_cat.AMR,dbgap_cat.EAS,dbgap_cat.EUR,dbgap_cat.META,dbgap_cat.pheno
Phe_174_1,binary,AfAdE,PheCodes,Neoplasms,Breast cancer [female],55309,3125,52184,16586,853,15733,6009,219,5790,NA,NA,NA,32714,2053,30661,NOT_SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_174_11,binary,AfE,PheCodes,Neoplasms,Malignant neoplasm of female breast,49291,2701,46590,16582,782,15800,NA,NA,NA,NA,NA,NA,32709,1919,30790,NOT_SENSITIVE,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_180,binary,AfAdE,PheCodes,Neoplasms,Cervical cancer and dysplasia,53950,2951,50999,16154,802,15352,5836,374,5462,NA,NA,NA,31960,1775,30185,NOT_SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_180_3,binary,AfAdE,PheCodes,Neoplasms,Cervical intraepithelial neoplasia [CIN] [Cervical dysplasia],54085,2651,51434,16172,761,15411,5842,352,5490,NA,NA,NA,32071,1538,30533,NOT_SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_185,binary,ALL,PheCodes,Neoplasms,Cancer of prostate,573692,61885,511807,103424,15097,88327,53167,3485,49682,6059,306,5753,411042,42997,368045,NOT_SENSITIVE,NOT_SENSITIVE,SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_187,binary,AfAdE,PheCodes,Neoplasms,Cancer of other male genital organs,572625,3018,569607,104210,453,103757,53572,314,53258,NA,NA,NA,414843,2251,412592,SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_187_8,binary,AfE,PheCodes,Neoplasms,Neoplasm of uncertain behavior of male genital organs,520899,799,520100,104630,205,104425,NA,NA,NA,NA,NA,NA,416269,594,415675,SENSITIVE,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_189,binary,AfAdE,PheCodes,Neoplasms,Cancer of urinary organs (incl. kidney and bladder),627011,21845,605166,120739,3021,117718,59478,1380,58098,NA,NA,NA,446794,17444,429350,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_189_1,binary,AfAdE,PheCodes,Neoplasms,Cancer of kidney and renal pelvis,630800,8951,621849,121455,1817,119638,59788,790,58998,NA,NA,NA,449557,6344,443213,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_189_11,binary,AfAdE,PheCodes,Neoplasms,"Malignant neoplasm of kidney, except pelvis",631072,8366,622706,121493,1739,119754,59807,752,59055,NA,NA,NA,449772,5875,443897,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_189_12,binary,AfE,PheCodes,Neoplasms,Malignant neoplasm of renal pelvis,571971,1498,570473,121642,282,121360,NA,NA,NA,NA,NA,NA,450329,1216,449113,SENSITIVE,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_189_2,binary,AfAdE,PheCodes,Neoplasms,Cancer of bladder,628890,13659,615231,121147,1271,119876,59593,644,58949,NA,NA,NA,448150,11744,436406,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_189_21,binary,AfAdE,PheCodes,Neoplasms,Malignant neoplasm of bladder,629871,12273,617598,121368,1055,120313,59662,554,59108,NA,NA,NA,448841,10664,438177,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_191,binary,AfAdE,PheCodes,Neoplasms,Manlignant and unknown neoplasms of brain and nervous system,630566,2913,627653,121403,524,120879,59738,232,59506,NA,NA,NA,449425,2157,447268,NOT_SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_191_1,binary,AfE,PheCodes,Neoplasms,Cancer of brain and nervous system,571719,1739,569980,121601,322,121279,NA,NA,NA,NA,NA,NA,450118,1417,448701,SENSITIVE,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_191_11,binary,AfE,PheCodes,Neoplasms,Cancer of brain,572159,1451,570708,121695,252,121443,NA,NA,NA,NA,NA,NA,450464,1199,449265,SENSITIVE,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_193,binary,AfAdE,PheCodes,Neoplasms,Thyroid cancer,632519,3103,629416,121793,450,121343,59869,283,59586,NA,NA,NA,450857,2370,448487,SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_194,binary,AfE,PheCodes,Neoplasms,Cancer of other endocrine glands,571726,1757,569969,121633,347,121286,NA,NA,NA,NA,NA,NA,450093,1410,448683,SENSITIVE,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_195,binary,AfAdE,PheCodes,Neoplasms,"Cancer, suspected or other",615583,16228,599355,119360,2598,116762,58947,987,57960,NA,NA,NA,437276,12643,424633,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_195_1,binary,AfAdE,PheCodes,Neoplasms,"Malignant neoplasm, other",621097,7772,613325,120518,946,119572,59308,385,58923,NA,NA,NA,441271,6441,434830,NOT_SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_195_3,binary,AfAdE,PheCodes,Neoplasms,"Malignant neoplasm of head, face, and neck",628123,5303,622820,121643,492,121151,59731,233,59498,NA,NA,NA,446749,4578,442171,SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_196,binary,AfAdE,PheCodes,Neoplasms,Radiotherapy,631241,8262,622979,121504,2300,119204,59810,412,59398,NA,NA,NA,449927,5550,444377,NOT_SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_197,binary,AfAdE,PheCodes,Neoplasms,Chemotherapy,626121,13683,612438,120524,2440,118084,59437,845,58592,NA,NA,NA,446160,10398,435762,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_198,binary,AfAdE,PheCodes,Neoplasms,Secondary malignant neoplasm,624835,22250,602585,120404,4003,116401,59383,1313,58070,NA,NA,NA,445048,16934,428114,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_198_1,binary,AfAdE,PheCodes,Neoplasms,Secondary malignancy of lymph nodes,628431,9457,618974,121058,1538,119520,59664,522,59142,NA,NA,NA,447709,7397,440312,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_198_2,binary,AfAdE,PheCodes,Neoplasms,Secondary malignancy of respiratory organs,630640,4100,626540,121462,700,120762,59800,297,59503,NA,NA,NA,449378,3103,446275,NOT_SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_198_3,binary,AfE,PheCodes,Neoplasms,Secondary malignant neoplasm of digestive systems,572020,1210,570810,121666,264,121402,NA,NA,NA,NA,NA,NA,450354,946,449408,SENSITIVE,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_198_4,binary,AfAdE,PheCodes,Neoplasms,Secondary malignant neoplasm of liver,631458,4023,627435,121571,801,120770,59805,266,59539,NA,NA,NA,450082,2956,447126,NOT_SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_198_5,binary,AfE,PheCodes,Neoplasms,Secondary malignancy of brain/spine,572519,2278,570241,121806,456,121350,NA,NA,NA,NA,NA,NA,450713,1822,448891,SENSITIVE,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_198_6,binary,AfAdE,PheCodes,Neoplasms,Secondary malignancy of bone,630866,7220,623646,121434,1469,119965,59793,427,59366,NA,NA,NA,449639,5324,444315,NOT_SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_199,binary,AfAdE,PheCodes,Neoplasms,Neoplasm of uncertain behavior,595543,23588,571955,116483,3879,112604,57516,1457,56059,NA,NA,NA,421544,18252,403292,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_200,binary,AfAdE,PheCodes,Neoplasms,Myeloproliferative disease,627304,7687,619617,120782,1270,119512,59484,493,58991,NA,NA,NA,447038,5924,441114,NOT_SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_200_1,binary,AfE,PheCodes,Neoplasms,Polycythemia vera,571829,2344,569485,121788,242,121546,NA,NA,NA,NA,NA,NA,450041,2102,447939,SENSITIVE,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_201,binary,AfE,PheCodes,Neoplasms,Hodgkin's disease,572616,1190,571426,121848,215,121633,NA,NA,NA,NA,NA,NA,450768,975,449793,SENSITIVE,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_202,binary,AfAdE,PheCodes,Neoplasms,"Cancer of other lymphoid, histiocytic tissue",629777,7849,621928,121304,1108,120196,59689,524,59165,NA,NA,NA,448784,6217,442567,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_202_2,binary,AfAdE,PheCodes,Neoplasms,Non-Hodgkins lymphoma,630416,7439,622977,121417,1038,120379,59731,491,59240,NA,NA,NA,449268,5910,443358,NOT_SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_204,binary,AfAdE,PheCodes,Neoplasms,Leukemia,630883,8428,622455,121451,1465,119986,59766,460,59306,NA,NA,NA,449666,6503,443163,NOT_SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_204_1,binary,AfE,PheCodes,Neoplasms,Lymphoid leukemia,572492,3603,568889,121794,426,121368,NA,NA,NA,NA,NA,NA,450698,3177,447521,SENSITIVE,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_204_12,binary,AfE,PheCodes,Neoplasms,"Lymphoid leukemia, chronic",572823,3205,569618,121891,360,121531,NA,NA,NA,NA,NA,NA,450932,2845,448087,SENSITIVE,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_204_2,binary,AfE,PheCodes,Neoplasms,Myeloid leukemia,572827,1617,571210,121841,230,121611,NA,NA,NA,NA,NA,NA,450986,1387,449599,SENSITIVE,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_204_4,binary,AfE,PheCodes,Neoplasms,Multiple myeloma,572564,2422,570142,121763,784,120979,NA,NA,NA,NA,NA,NA,450801,1638,449163,NOT_SENSITIVE,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_208,binary,ALL,PheCodes,Neoplasms,Benign neoplasm of colon,561237,169920,391317,106199,31093,75106,53541,12715,40826,6247,1017,5230,395250,125095,270155,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_209,binary,AfE,PheCodes,Neoplasms,Neuroendocrine tumors,572842,751,572091,121812,211,121601,NA,NA,NA,NA,NA,NA,451030,540,450490,SENSITIVE,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_210,binary,AfAdE,PheCodes,Neoplasms,"Benign neoplasm of lip, oral cavity, and pharynx",625909,4193,621716,120669,767,119902,59339,307,59032,NA,NA,NA,445901,3119,442782,NOT_SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_211,binary,AfAdE,PheCodes,Neoplasms,Benign neoplasm of other parts of digestive system,620484,5082,615402,119753,980,118773,58847,407,58440,NA,NA,NA,441884,3695,438189,NOT_SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_212,binary,AfE,PheCodes,Neoplasms,Benign neoplasm of respiratory and intrathoracic organs,570262,1704,568558,121299,405,120894,NA,NA,NA,NA,NA,NA,448963,1299,447664,SENSITIVE,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_213,binary,AfE,PheCodes,Neoplasms,Benign neoplasm of bone and articular cartilage,570442,985,569457,121225,268,120957,NA,NA,NA,NA,NA,NA,449217,717,448500,SENSITIVE,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_214,binary,AfAdE,PheCodes,Neoplasms,Lipoma,608502,22495,586007,117041,5753,111288,57820,2094,55726,NA,NA,NA,433641,14648,418993,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_214_1,binary,AfAdE,PheCodes,Neoplasms,Lipoma of skin and subcutaneous tissue,618295,11464,606831,118575,2946,115629,58641,1123,57518,NA,NA,NA,441079,7395,433684,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_215,binary,AfAdE,PheCodes,Neoplasms,Other benign neoplasm of connective and other soft tissue,623479,3580,619899,119976,963,119013,59174,296,58878,NA,NA,NA,444329,2321,442008,NOT_SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_216,binary,ALL,PheCodes,Neoplasms,Benign neoplasm of skin,573494,45695,527799,113865,3834,110031,54739,2867,51872,6369,226,6143,398521,38768,359753,NOT_SENSITIVE,NOT_SENSITIVE,SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_216_1,binary,AfAdE,PheCodes,Neoplasms,Screening for malignant neopla,606750,14479,592271,119211,1017,118194,58363,632,57731,NA,NA,NA,429176,12830,416346,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_217,binary,AfAdE,PheCodes,Neoplasms,Vascular hamartomas and non-neoplastic nevi,599537,15006,584531,119696,641,119055,57326,874,56452,NA,NA,NA,422515,13491,409024,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_217_1,binary,AfAdE,PheCodes,Neoplasms,"Nevus, non-neoplastic",600135,14501,585634,119781,610,119171,57387,823,56564,NA,NA,NA,422967,13068,409899,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_218,binary,AfAdE,PheCodes,Neoplasms,Benign neoplasm of uterus,52740,5936,46804,15465,3542,11923,5735,530,5205,NA,NA,NA,31540,1864,29676,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_218_1,binary,AfAdE,PheCodes,Neoplasms,Uterine leiomyoma,53046,5805,47241,15525,3503,12022,5777,519,5258,NA,NA,NA,31744,1783,29961,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_222,binary,AfAdE,PheCodes,Neoplasms,Benign neoplasm of male genital organs,565663,6168,559495,102612,1300,101312,52837,574,52263,NA,NA,NA,410214,4294,405920,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_223,binary,AfE,PheCodes,Neoplasms,Benign neoplasm of kidney and other urinary organs,569598,1753,567845,121256,340,120916,NA,NA,NA,NA,NA,NA,448342,1413,446929,SENSITIVE,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_224,binary,AfAdE,PheCodes,Neoplasms,Benign neoplasm of eye,620665,22282,598383,120648,1240,119408,58987,1294,57693,NA,NA,NA,441030,19748,421282,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_224_1,binary,AfAdE,PheCodes,Neoplasms,"Benign neoplasm of eye, uveal",622545,20824,601721,121190,858,120332,59198,1126,58072,NA,NA,NA,442157,18840,423317,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_225,binary,AfAdE,PheCodes,Neoplasms,Benign neoplasm of brain and other parts of nervous system,630889,3850,627039,121511,656,120855,59719,314,59405,NA,NA,NA,449659,2880,446779,NOT_SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_225_1,binary,AfAdE,PheCodes,Neoplasms,"Benign neoplasm of brain, cranial nerves, meninges",631104,3628,627476,121544,613,120931,59737,299,59438,NA,NA,NA,449823,2716,447107,NOT_SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_226,binary,AfE,PheCodes,Neoplasms,Benign neoplasm of thyroid glands,571550,1045,570505,121494,281,121213,NA,NA,NA,NA,NA,NA,450056,764,449292,SENSITIVE,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_227,binary,AfAdE,PheCodes,Neoplasms,Benign neoplasm of other endocrine glands and other related structures,628487,8119,620368,120839,2227,118612,59586,680,58906,NA,NA,NA,448062,5212,442850,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_227_1,binary,AfAdE,PheCodes,Neoplasms,Benign neoplasm of adrenal gland,630183,3908,626275,121230,1058,120172,59746,245,59501,NA,NA,NA,449207,2605,446602,NOT_SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_227_3,binary,AfAdE,PheCodes,Neoplasms,Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch),632562,3343,629219,121774,989,120785,59838,378,59460,NA,NA,NA,450950,1976,448974,NOT_SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_228,binary,AfAdE,PheCodes,Neoplasms,"Hemangioma and lymphangioma, any site",609658,11340,598318,120656,676,119980,58418,648,57770,NA,NA,NA,430584,10016,420568,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_228_1,binary,AdE,PheCodes,Neoplasms,Hemangioma of skin and subcutaneous tissue,494904,6623,488281,NA,NA,NA,58932,281,58651,NA,NA,NA,435972,6342,429630,NA,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_240,binary,AfE,PheCodes,Endocrine or Metabolic,Simple and unspecified goiter,570042,2904,567138,120785,1259,119526,NA,NA,NA,NA,NA,NA,449257,1645,447612,NOT_SENSITIVE,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_241,binary,AfAdE,PheCodes,Endocrine or Metabolic,Nontoxic nodular goiter,625854,22439,603415,120196,5733,114463,59367,1420,57947,NA,NA,NA,446291,15286,431005,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_241_1,binary,AfAdE,PheCodes,Endocrine or Metabolic,Nontoxic uninodular goiter,625682,17492,608190,120182,4160,116022,59378,1180,58198,NA,NA,NA,446122,12152,433970,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_241_2,binary,AfAdE,PheCodes,Endocrine or Metabolic,Nontoxic multinodular goiter,628574,9031,619543,120702,2803,117899,59662,460,59202,NA,NA,NA,448210,5768,442442,NOT_SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_242,binary,AfAdE,PheCodes,Endocrine or Metabolic,Thyrotoxicosis with or without goiter,626884,8951,617933,120502,2690,117812,59436,735,58701,NA,NA,NA,446946,5526,441420,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_242_1,binary,AfAdE,PheCodes,Endocrine or Metabolic,Graves' disease,632044,2971,629073,121555,1020,120535,59820,279,59541,NA,NA,NA,450669,1672,448997,NOT_SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_242_2,binary,AfE,PheCodes,Endocrine or Metabolic,Toxic multinodular goiter,572777,638,572139,121720,271,121449,NA,NA,NA,NA,NA,NA,451057,367,450690,SENSITIVE,NA,NA,SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_242_3,binary,AfE,PheCodes,Endocrine or Metabolic,Exophthalmos,571693,1322,570371,121277,612,120665,NA,NA,NA,NA,NA,NA,450416,710,449706,NOT_SENSITIVE,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_244,binary,ALL,PheCodes,Endocrine or Metabolic,Hypothyroidism,626411,76897,549514,119770,7603,112167,58748,6082,52666,6758,398,6360,441135,62814,378321,NOT_SENSITIVE,NOT_SENSITIVE,SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_244_1,binary,AfAdE,PheCodes,Endocrine or Metabolic,Secondary hypothyroidism,630633,6193,624440,121433,1469,119964,59733,504,59229,NA,NA,NA,449467,4220,445247,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_244_2,binary,AfAdE,PheCodes,Endocrine or Metabolic,Acquired hypothyroidism,626175,6260,619915,121064,716,120348,59288,544,58744,NA,NA,NA,445823,5000,440823,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_244_4,binary,ALL,PheCodes,Endocrine or Metabolic,Hypothyroidism NOS,626668,73864,552804,119851,7099,112752,58787,5823,52964,6756,369,6387,441274,60573,380701,NOT_SENSITIVE,NOT_SENSITIVE,SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_245,binary,AfAdE,PheCodes,Endocrine or Metabolic,Thyroiditis,630916,2522,628394,121457,392,121065,59719,226,59493,NA,NA,NA,449740,1904,447836,SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_246,binary,AfAdE,PheCodes,Endocrine or Metabolic,Other disorders of thyroid,623896,5917,617979,119706,1640,118066,59204,411,58793,NA,NA,NA,444986,3866,441120,NOT_SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_246_7,binary,AfAdE,PheCodes,Endocrine or Metabolic,Abnormal results of function study of thyro,621674,6131,615543,119702,1431,118271,58942,460,58482,NA,NA,NA,443030,4240,438790,NOT_SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_249,binary,AfAdE,PheCodes,Endocrine or Metabolic,Secondary diabetes mellitus,618956,10032,608924,118295,2358,115937,58365,1018,57347,NA,NA,NA,442296,6656,435640,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_250,binary,ALL,PheCodes,Endocrine or Metabolic,Diabetes mellitus,611168,231397,379771,115705,51802,63903,57564,22361,35203,6594,2276,4318,431305,154958,276347,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_250_1,binary,AfAdE,PheCodes,Endocrine or Metabolic,Type 1 diabetes,609028,25717,583311,115861,6451,109410,57429,2295,55134,NA,NA,NA,435738,16971,418767,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_250_11,binary,AfE,PheCodes,Endocrine or Metabolic,Type 1 diabetes with ketoacidosis,572532,745,571787,121595,215,121380,NA,NA,NA,NA,NA,NA,450937,530,450407,SENSITIVE,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_250_12,binary,AfE,PheCodes,Endocrine or Metabolic,Type 1 diabetes with renal manifestations,571805,1450,570355,121507,381,121126,NA,NA,NA,NA,NA,NA,450298,1069,449229,SENSITIVE,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_250_13,binary,AfAdE,PheCodes,Endocrine or Metabolic,Type 1 diabetes with ophthalmic manifestations,627819,3569,624250,120493,738,119755,59359,314,59045,NA,NA,NA,447967,2517,445450,NOT_SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_250_14,binary,AfAdE,PheCodes,Endocrine or Metabolic,Type 1 diabetes with neurological manifestations,627732,4968,622764,120757,847,119910,59407,309,59098,NA,NA,NA,447568,3812,443756,NOT_SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_250_2,binary,ALL,PheCodes,Endocrine or Metabolic,Type 2 diabetes,612947,230291,382656,116014,51551,64463,57680,22274,35406,6605,2272,4333,432648,154194,278454,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_250_21,binary,AfAdE,PheCodes,Endocrine or Metabolic,Type 2 diabetes with ketoacidosis,630846,2364,628482,121082,893,120189,59646,269,59377,NA,NA,NA,450118,1202,448916,NOT_SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_250_22,binary,ALL,PheCodes,Endocrine or Metabolic,Type 2 diabetes with renal manifestations,621666,39253,582413,117635,9879,107756,58218,3709,54509,6707,431,6276,439106,25234,413872,NOT_SENSITIVE,NOT_SENSITIVE,SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
