File: A1C_Mean_INT_enrichment.results
Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p
Backgrd_Selection_Stat	1.8503e-01	3.8639e-01	3.8019e-01	2.0882e+00	2.0547e+00	3.9210e-01
CpG_Content_50kb	1.0097e-02	1.6424e-02	9.9471e-03	1.6266e+00	9.8514e-01	1.6633e-01

---

File: GIOth_enrichment.results
Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p
020222_ATAC_Stim_TNFa	6.3614e-03	-1.7563e+00	3.7222e+00	-2.7609e+02	5.8513e+02	1.1818e-01
020222_ATAC_Stim_UT	6.4117e-03	-2.6620e+00	5.6331e+00	-4.1518e+02	8.7858e+02	3.1103e-02
ASoC_TNFa_11samp_WGS	5.5855e-04	9.0583e-02	7.5315e-01	1.6217e+02	1.3484e+03	8.7868e-01
ASoC_UT_11samp_WGS	4.8543e-04	-2.9310e-01	7.4208e-01	-6.0378e+02	1.5287e+03	5.0768e-01
MAFbin1	6.1034e-02	1.5370e+00	3.0256e+00	2.5182e+01	4.9573e+01	7.7039e-04
MAFbin2	5.9542e-02	-6.1252e-01	1.6781e+00	-1.0287e+01	2.8184e+01	3.8272e-01
MAFbin3	5.9394e-02	-4.4731e-01	1.1859e+00	-7.5314e+00	1.9966e+01	4.6141e-01
MAFbin4	6.0043e-02	7.2813e-01	1.5333e+00	1.2127e+01	2.5537e+01	3.0637e-01
MAFbin5	5.8625e-02	5.5287e-01	1.1400e+00	9.4306e+00	1.9446e+01	3.3289e-01
MAFbin6	5.9415e-02	8.5648e-01	1.6120e+00	1.4415e+01	2.7132e+01	1.9355e-02
MAFbin7	5.9469e-02	-1.7742e-01	5.8807e-01	-2.9833e+00	9.8886e+00	5.4873e-01
MAFbin8	5.9765e-02	-5.7775e-02	8.5390e-01	-9.6670e-01	1.4288e+01	8.7434e-01
MAFbin9	6.0284e-02	-8.2095e-01	1.8727e+00	-1.3618e+01	3.1064e+01	2.1103e-01
MAFbin10	5.8711e-02	4.7059e-02	6.3253e-01	8.0153e-01	1.0774e+01	9.8637e-01
MAF_Adj_Predicted_Allele_Age	2.0228e-06	-5.8863e-01	2.2374e+00	-2.9099e+05	1.1061e+06	8.0061e-01
MAF_Adj_LLD_AFR	1.6675e-03	-1.6239e+00	2.6859e+00	-9.7388e+02	1.6108e+03	2.4321e-01
Recomb_Rate_10kb	1.5151e+00	2.8123e+00	9.0494e+00	1.8561e+00	5.9727e+00	9.0656e-01
Nucleotide_Diversity_10kb	4.4496e+00	3.1176e+00	4.0242e+00	7.0065e-01	9.0438e-01	6.4843e-01
Backgrd_Selection_Stat	1.8503e-01	8.7303e-02	3.0504e-01	4.7182e-01	1.6485e+00	6.8607e-01
CpG_Content_50kb	1.0097e-02	2.8609e-03	1.8546e-02	2.8334e-01	1.8367e+00	2.7261e-01

---

File: GIPolyp_enrichment.results
Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p
020222_ATAC_Stim_TNFa	6.3614e-03	1.2845e+00	1.2302e+00	2.0193e+02	1.9338e+02	1.4474e-02
020222_ATAC_Stim_UT	6.4117e-03	7.8274e-01	8.5285e-01	1.2208e+02	1.3302e+02	1.2735e-01
ASoC_TNFa_11samp_WGS	5.5855e-04	5.7155e-01	6.0604e-01	1.0233e+03	1.0850e+03	1.2271e-01
ASoC_UT_11samp_WGS	4.8543e-04	-2.0639e-02	2.2588e-01	-4.2517e+01	4.6532e+02	9.1496e-01
MAFbin1	6.1034e-02	-8.6291e-02	3.1554e-01	-1.4138e+00	5.1699e+00	5.8996e-01
MAFbin2	5.9542e-02	1.2434e+00	1.3354e+00	2.0882e+01	2.2428e+01	7.8531e-02
MAFbin3	5.9394e-02	-1.4498e-01	3.1622e-01	-2.4411e+00	5.3241e+00	3.5670e-01
MAFbin4	6.0043e-02	2.0393e-01	3.3206e-01	3.3964e+00	5.5304e+00	6.1940e-01
MAFbin5	5.8625e-02	2.7637e-01	4.5354e-01	4.7142e+00	7.7364e+00	5.5270e-01
MAFbin6	5.9415e-02	-2.8223e-01	4.6242e-01	-4.7502e+00	7.7829e+00	1.5091e-01
MAFbin7	5.9469e-02	9.6924e-02	3.2378e-01	1.6298e+00	5.4445e+00	8.9993e-01
MAFbin8	5.9765e-02	7.0243e-01	7.4476e-01	1.1753e+01	1.2461e+01	2.4055e-02
MAFbin9	6.0284e-02	-7.3806e-01	8.1910e-01	-1.2243e+01	1.3587e+01	4.8391e-03
MAFbin10	5.8711e-02	2.5148e-01	4.9882e-01	4.2833e+00	8.4962e+00	5.7280e-01
MAF_Adj_Predicted_Allele_Age	2.0228e-06	-1.3263e+00	1.3436e+00	-6.5568e+05	6.6421e+05	2.7288e-01
MAF_Adj_LLD_AFR	1.6675e-03	1.9996e-01	8.0226e-01	1.1992e+02	4.8112e+02	7.6272e-01
Recomb_Rate_10kb	1.5151e+00	-2.0018e+00	7.1255e+00	-1.3212e+00	4.7029e+00	4.1347e-01
Nucleotide_Diversity_10kb	4.4496e+00	1.6930e+00	3.4462e+00	3.8047e-01	7.7449e-01	1.5770e-02
Backgrd_Selection_Stat	1.8503e-01	2.4628e-01	1.6828e-01	1.3310e+00	9.0948e-01	6.4582e-01
CpG_Content_50kb	1.0097e-02	2.1129e-02	1.0100e-02	2.0926e+00	1.0003e+00	1.0895e-02

---

File: GIReflux_enrichment.results
Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p
020222_ATAC_Stim_TNFa	6.3614e-03	-4.6686e-01	5.5757e-01	-7.3390e+01	8.7649e+01	1.6133e-01
020222_ATAC_Stim_UT	6.4117e-03	1.3798e-01	5.0340e-01	2.1521e+01	7.8514e+01	7.5711e-01
ASoC_TNFa_11samp_WGS	5.5855e-04	-1.9880e-02	1.3693e-01	-3.5592e+01	2.4515e+02	8.7466e-01
ASoC_UT_11samp_WGS	4.8543e-04	-9.2986e-02	1.4245e-01	-1.9155e+02	2.9346e+02	3.9789e-01
MAFbin1	6.1034e-02	-4.1559e-01	6.3847e-01	-6.8093e+00	1.0461e+01	3.2603e-02
MAFbin2	5.9542e-02	-1.9596e-02	3.5525e-01	-3.2911e-01	5.9664e+00	8.0340e-01
MAFbin3	5.9394e-02	6.6092e-01	6.6787e-01	1.1128e+01	1.1245e+01	1.1951e-01
MAFbin4	6.0043e-02	1.9701e-01	6.1394e-01	3.2811e+00	1.0225e+01	7.6168e-01
MAFbin5	5.8625e-02	7.3210e-01	8.0539e-01	1.2488e+01	1.3738e+01	1.9318e-01
MAFbin6	5.9415e-02	-2.2707e-01	4.3814e-01	-3.8218e+00	7.3743e+00	2.1563e-01
MAFbin7	5.9469e-02	-1.2441e-01	2.5149e-01	-2.0920e+00	4.2289e+00	3.3422e-01
MAFbin8	5.9765e-02	-2.8118e-01	4.6547e-01	-4.7047e+00	7.7884e+00	1.7972e-01
MAFbin9	6.0284e-02	-3.0095e-01	5.1769e-01	-4.9922e+00	8.5875e+00	2.7412e-01
MAFbin10	5.8711e-02	6.9620e-01	9.1708e-01	1.1858e+01	1.5620e+01	5.5482e-02
MAF_Adj_Predicted_Allele_Age	2.0228e-06	1.9212e-02	2.5175e+00	9.4974e+03	1.2445e+06	9.9185e-01
MAF_Adj_LLD_AFR	1.6675e-03	1.2527e-01	1.3283e+00	7.5123e+01	7.9658e+02	8.9747e-01
Recomb_Rate_10kb	1.5151e+00	-8.9434e-01	7.2277e+00	-5.9027e-01	4.7704e+00	6.2926e-01
Nucleotide_Diversity_10kb	4.4496e+00	3.6696e+00	1.9310e+00	8.2470e-01	4.3397e-01	6.1646e-01
Backgrd_Selection_Stat	1.8503e-01	3.8191e-01	2.7555e-01	2.0640e+00	1.4892e+00	1.5826e-01
CpG_Content_50kb	1.0097e-02	8.4445e-03	4.2331e-03	8.3633e-01	4.1924e-01	5.8785e-01

---

File: GIUlcer_enrichment.results
Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p
020222_ATAC_Stim_TNFa	6.3614e-03	2.7823e-01	2.9943e+01	4.3738e+01	4.7070e+03	9.0465e-01
020222_ATAC_Stim_UT	6.4117e-03	4.1858e+00	5.8944e+02	6.5284e+02	9.1932e+04	1.0059e-01
ASoC_TNFa_11samp_WGS	5.5855e-04	-5.3690e-01	7.9218e+01	-9.6123e+02	1.4183e+05	4.6099e-01
ASoC_UT_11samp_WGS	4.8543e-04	-3.1623e-01	4.5791e+01	-6.5145e+02	9.4330e+04	5.7877e-01
MAFbin1	6.1034e-02	-1.8062e+00	2.9046e+02	-2.9594e+01	4.7591e+03	3.2104e-02
MAFbin2	5.9542e-02	-6.2946e-01	8.4578e+01	-1.0572e+01	1.4205e+03	6.8832e-01
MAFbin3	5.9394e-02	2.2353e+00	3.1195e+02	3.7636e+01	5.2523e+03	3.1527e-01
MAFbin4	6.0043e-02	-7.1747e-01	1.0139e+02	-1.1949e+01	1.6886e+03	5.4942e-01
MAFbin5	5.8625e-02	-5.6451e-01	8.1221e+01	-9.6292e+00	1.3854e+03	4.7119e-01
MAFbin6	5.9415e-02	-1.0663e+00	1.5385e+02	-1.7946e+01	2.5895e+03	1.8119e-01
MAFbin7	5.9469e-02	-1.8892e+00	2.7561e+02	-3.1768e+01	4.6345e+03	5.0391e-03
MAFbin8	5.9765e-02	-2.7249e+00	3.9360e+02	-4.5594e+01	6.5858e+03	1.4814e-02
MAFbin9	6.0284e-02	3.0641e+00	4.4823e+02	5.0828e+01	7.4354e+03	6.8104e-02
MAFbin10	5.8711e-02	1.8363e+00	2.6511e+02	3.1276e+01	4.5154e+03	1.6553e-01
MAF_Adj_Predicted_Allele_Age	2.0228e-06	7.7587e+00	1.1855e+03	3.8355e+06	5.8608e+08	8.3434e-02
MAF_Adj_LLD_AFR	1.6675e-03	4.9043e+00	7.1714e+02	2.9412e+03	4.3007e+05	7.1109e-02
Recomb_Rate_10kb	1.5151e+00	-1.3662e+01	2.7073e+03	-9.0174e+00	1.7868e+03	4.4809e-01
Nucleotide_Diversity_10kb	4.4496e+00	7.2896e+00	2.3312e+02	1.6383e+00	5.2390e+01	6.2139e-01
Backgrd_Selection_Stat	1.8503e-01	6.9783e-01	8.1294e+01	3.7714e+00	4.3935e+02	3.0346e-01
CpG_Content_50kb	1.0097e-02	4.0451e-02	4.2567e+00	4.0061e+00	4.2158e+02	7.5144e-02

---

File: Glucose_FS_Mean_INT_enrichment.results
Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p
020222_ATAC_Stim_TNFa	6.3614e-03	-1.3420e-01	4.8612e-01	-2.1096e+01	7.6418e+01	7.2507e-01
020222_ATAC_Stim_UT	6.4117e-03	-1.0927e-02	4.2667e-01	-1.7042e+00	6.6545e+01	9.6485e-01
ASoC_TNFa_11samp_WGS	5.5855e-04	1.6939e-01	2.5081e-01	3.0327e+02	4.4904e+02	1.9824e-01
ASoC_UT_11samp_WGS	4.8543e-04	-1.1384e-01	1.5614e-01	-2.3450e+02	3.2165e+02	2.0717e-01
MAFbin1	6.1034e-02	-4.2470e-01	6.4465e-01	-6.9585e+00	1.0562e+01	3.0221e-02
MAFbin2	5.9542e-02	2.9790e-01	4.4971e-01	5.0032e+00	7.5529e+00	5.0758e-01
MAFbin3	5.9394e-02	6.0038e-01	8.6316e-01	1.0108e+01	1.4533e+01	2.2587e-01
MAFbin4	6.0043e-02	2.8392e-01	4.5029e-01	4.7287e+00	7.4994e+00	4.4265e-01
MAFbin5	5.8625e-02	-2.5749e-01	4.3275e-01	-4.3922e+00	7.3817e+00	3.0839e-01
MAFbin6	5.9415e-02	4.7351e-02	2.2685e-01	7.9695e-01	3.8180e+00	9.5440e-01
MAFbin7	5.9469e-02	-4.6007e-01	6.5884e-01	-7.7362e+00	1.1079e+01	5.2231e-03
MAFbin8	5.9765e-02	6.1671e-01	8.4133e-01	1.0319e+01	1.4077e+01	1.6791e-01
MAFbin9	6.0284e-02	7.6247e-01	9.6577e-01	1.2648e+01	1.6020e+01	9.9449e-02
MAFbin10	5.8711e-02	-1.0071e+00	1.2307e+00	-1.7153e+01	2.0963e+01	9.5483e-05
MAF_Adj_Predicted_Allele_Age	2.0228e-06	3.9770e-01	1.9820e+00	1.9660e+05	9.7983e+05	8.0797e-01
MAF_Adj_LLD_AFR	1.6675e-03	-4.2142e-01	8.0804e-01	-2.5273e+02	4.8459e+02	6.0018e-01
Recomb_Rate_10kb	1.5151e+00	2.5485e+00	4.1164e+00	1.6820e+00	2.7169e+00	7.9493e-01
Nucleotide_Diversity_10kb	4.4496e+00	3.7081e+00	1.7777e+00	8.3334e-01	3.9951e-01	5.4451e-01
Backgrd_Selection_Stat	1.8503e-01	2.9442e-01	2.2842e-01	1.5912e+00	1.2345e+00	4.1482e-01
CpG_Content_50kb	1.0097e-02	1.3747e-02	4.2339e-03	1.3614e+00	4.1931e-01	3.1263e-01

---

File: Glucose_Mean_INT_enrichment.results
Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p
020222_ATAC_Stim_TNFa	6.3614e-03	1.4777e-01	1.1448e-01	2.3229e+01	1.7996e+01	2.3338e-01
020222_ATAC_Stim_UT	6.4117e-03	2.2890e-01	1.6157e-01	3.5701e+01	2.5200e+01	1.8387e-01
ASoC_TNFa_11samp_WGS	5.5855e-04	6.4124e-02	5.6870e-02	1.1480e+02	1.0182e+02	2.7319e-01
ASoC_UT_11samp_WGS	4.8543e-04	-6.6448e-03	2.0970e-02	-1.3688e+01	4.3198e+01	7.3792e-01
MAFbin1	6.1034e-02	7.4590e-02	4.9691e-02	1.2221e+00	8.1416e-01	7.8245e-01
MAFbin2	5.9542e-02	1.3505e-02	5.9281e-02	2.2681e-01	9.9561e-01	4.2627e-01
MAFbin3	5.9394e-02	-3.2582e-02	7.4618e-02	-5.4858e-01	1.2563e+00	2.2878e-01
MAFbin4	6.0043e-02	1.7363e-01	6.9132e-02	2.8918e+00	1.1514e+00	1.0162e-01
MAFbin5	5.8625e-02	1.9093e-01	1.0220e-01	3.2569e+00	1.7433e+00	1.3443e-01
MAFbin6	5.9415e-02	1.6757e-01	8.6586e-02	2.8203e+00	1.4573e+00	2.3757e-01
MAFbin7	5.9469e-02	8.9375e-02	5.4667e-02	1.5029e+00	9.1924e-01	5.7760e-01
MAFbin8	5.9765e-02	6.9562e-02	8.4468e-02	1.1639e+00	1.4133e+00	9.0314e-01
MAFbin9	6.0284e-02	1.3506e-01	8.9076e-02	2.2405e+00	1.4776e+00	3.9936e-01
MAFbin10	5.8711e-02	-1.3432e-01	8.3842e-02	-2.2878e+00	1.4280e+00	2.7512e-02
MAF_Adj_Predicted_Allele_Age	2.0228e-06	-3.8816e-01	5.5173e-01	-1.9189e+05	2.7275e+05	4.8980e-01
MAF_Adj_LLD_AFR	1.6675e-03	-6.1052e-01	3.2970e-01	-3.6613e+02	1.9772e+02	1.0869e-01
Recomb_Rate_10kb	1.5151e+00	2.7420e+00	7.2219e-01	1.8097e+00	4.7665e-01	1.2133e-01
Nucleotide_Diversity_10kb	4.4496e+00	3.8016e+00	3.6433e-01	8.5437e-01	8.1878e-02	7.4738e-02
Backgrd_Selection_Stat	1.8503e-01	1.6683e-01	3.7513e-02	9.0163e-01	2.0274e-01	6.1519e-01
CpG_Content_50kb	1.0097e-02	1.4768e-02	1.2893e-03	1.4626e+00	1.2769e-01	5.0997e-03

---

File: HDLC_Mean_INT_enrichment.results
Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p
020222_ATAC_Stim_TNFa	6.3614e-03	1.9671e-01	1.2030e-01	3.0923e+01	1.8911e+01	8.6980e-02
020222_ATAC_Stim_UT	6.4117e-03	2.5599e-01	1.2420e-01	3.9926e+01	1.9370e+01	2.9202e-02
ASoC_TNFa_11samp_WGS	5.5855e-04	-2.3672e-02	4.2475e-02	-4.2381e+01	7.6044e+01	5.7106e-01
ASoC_UT_11samp_WGS	4.8543e-04	3.0087e-02	4.2140e-02	6.1979e+01	8.6809e+01	4.8348e-01
MAFbin1	6.1034e-02	1.0224e-01	5.3953e-02	1.6751e+00	8.8399e-01	4.2074e-01
MAFbin2	5.9542e-02	5.7321e-02	6.5671e-02	9.6271e-01	1.1029e+00	9.7286e-01
MAFbin3	5.9394e-02	4.1045e-02	6.3069e-02	6.9106e-01	1.0619e+00	7.7060e-01
MAFbin4	6.0043e-02	2.1396e-01	1.0905e-01	3.5634e+00	1.8162e+00	1.3599e-01
MAFbin5	5.8625e-02	1.1227e-01	7.5066e-02	1.9151e+00	1.2804e+00	4.7444e-01
MAFbin6	5.9415e-02	7.3953e-02	7.1175e-02	1.2447e+00	1.1979e+00	8.3645e-01
MAFbin7	5.9469e-02	8.6083e-02	7.7987e-02	1.4475e+00	1.3114e+00	7.3055e-01
MAFbin8	5.9765e-02	3.9278e-01	1.7681e-01	6.5720e+00	2.9584e+00	6.1340e-02
MAFbin9	6.0284e-02	-1.1470e-01	1.1024e-01	-1.9027e+00	1.8287e+00	1.0952e-01
MAFbin10	5.8711e-02	-2.8957e-02	7.1184e-02	-4.9320e-01	1.2124e+00	2.3555e-01
MAF_Adj_Predicted_Allele_Age	2.0228e-06	-4.5503e-01	3.7891e-01	-2.2494e+05	1.8732e+05	2.3383e-01
MAF_Adj_LLD_AFR	1.6675e-03	-8.0224e-01	1.9632e-01	-4.8111e+02	1.1773e+02	2.4094e-04
Recomb_Rate_10kb	1.5151e+00	9.5356e-01	1.1465e+00	6.2936e-01	7.5668e-01	5.9525e-01
Nucleotide_Diversity_10kb	4.4496e+00	3.7216e+00	3.5713e-01	8.3639e-01	8.0261e-02	3.2163e-02
Backgrd_Selection_Stat	1.8503e-01	2.1612e-01	3.1176e-02	1.1680e+00	1.6849e-01	2.9423e-01
CpG_Content_50kb	1.0097e-02	1.2878e-02	7.6827e-04	1.2754e+00	7.6088e-02	2.6614e-03

---

File: LDLC_Mean_INT_enrichment.results
Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p
020222_ATAC_Stim_TNFa	6.3614e-03	2.7039e-01	1.4139e-01	4.2504e+01	2.2226e+01	3.3557e-02
020222_ATAC_Stim_UT	6.4117e-03	3.0184e-01	1.4851e-01	4.7076e+01	2.3162e+01	2.5683e-02
ASoC_TNFa_11samp_WGS	5.5855e-04	7.4512e-02	8.3040e-02	1.3340e+02	1.4867e+02	3.4872e-01
ASoC_UT_11samp_WGS	4.8543e-04	-5.7189e-02	3.9465e-02	-1.1781e+02	8.1297e+01	1.5399e-01
MAFbin1	6.1034e-02	9.0727e-02	1.0260e-01	1.4865e+00	1.6810e+00	7.7317e-01
MAFbin2	5.9542e-02	1.0313e-01	1.2977e-01	1.7321e+00	2.1795e+00	7.3383e-01
MAFbin3	5.9394e-02	1.2827e-01	1.2445e-01	2.1596e+00	2.0953e+00	5.7848e-01
MAFbin4	6.0043e-02	6.3127e-02	9.5424e-02	1.0514e+00	1.5893e+00	9.7397e-01
MAFbin5	5.8625e-02	1.7013e-01	2.0780e-01	2.9021e+00	3.5446e+00	5.9246e-01
MAFbin6	5.9415e-02	2.4172e-01	1.2969e-01	4.0683e+00	2.1828e+00	1.8298e-01
MAFbin7	5.9469e-02	-3.4722e-02	6.7709e-02	-5.8387e-01	1.1385e+00	1.4651e-01
MAFbin8	5.9765e-02	2.1392e-01	1.7478e-01	3.5794e+00	2.9245e+00	3.6239e-01
MAFbin9	6.0284e-02	-1.7157e-01	1.2439e-01	-2.8461e+00	2.0634e+00	4.7235e-02
MAFbin10	5.8711e-02	8.4522e-02	1.2123e-01	1.4396e+00	2.0648e+00	8.3003e-01
MAF_Adj_Predicted_Allele_Age	2.0228e-06	-4.7431e-01	6.8700e-01	-2.3447e+05	3.3962e+05	5.3513e-01
MAF_Adj_LLD_AFR	1.6675e-03	-2.3088e-01	3.6022e-01	-1.3846e+02	2.1603e+02	5.5347e-01
Recomb_Rate_10kb	1.5151e+00	7.2655e-01	1.2314e+00	4.7953e-01	8.1274e-01	4.7888e-01
Nucleotide_Diversity_10kb	4.4496e+00	3.7712e+00	4.8215e-01	8.4753e-01	1.0836e-01	1.6245e-01
Backgrd_Selection_Stat	1.8503e-01	2.9478e-01	5.2144e-02	1.5931e+00	2.8181e-01	1.4284e-02
CpG_Content_50kb	1.0097e-02	1.1036e-02	9.9845e-04	1.0930e+00	9.8885e-02	3.7188e-01

---

File: Mg_BSP_Mean_INT_enrichment.results
Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p
020222_ATAC_Stim_TNFa	6.3614e-03	4.6856e-02	2.4995e-01	7.3658e+00	3.9292e+01	8.6457e-01
020222_ATAC_Stim_UT	6.4117e-03	3.9424e-01	2.9720e-01	6.1489e+01	4.6352e+01	1.9890e-01
ASoC_TNFa_11samp_WGS	5.5855e-04	-1.5661e-01	1.4584e-01	-2.8039e+02	2.6110e+02	1.0932e-01
ASoC_UT_11samp_WGS	4.8543e-04	-5.6897e-02	1.0531e-01	-1.1721e+02	2.1693e+02	5.1885e-01
MAFbin1	6.1034e-02	6.0845e-02	2.3087e-01	9.9691e-01	3.7826e+00	9.9927e-01
MAFbin2	5.9542e-02	3.8941e-01	4.3105e-01	6.5401e+00	7.2395e+00	2.4050e-01
MAFbin3	5.9394e-02	-2.6769e-02	2.5508e-01	-4.5071e-01	4.2947e+00	6.1863e-01
MAFbin4	6.0043e-02	2.3648e-02	2.8662e-01	3.9386e-01	4.7736e+00	8.6872e-01
MAFbin5	5.8625e-02	1.6338e-01	4.0395e-01	2.7869e+00	6.8904e+00	6.8523e-01
MAFbin6	5.9415e-02	8.2320e-02	1.9892e-01	1.3855e+00	3.3480e+00	9.0829e-01
MAFbin7	5.9469e-02	-1.2795e-01	3.3037e-01	-2.1515e+00	5.5552e+00	1.5343e-01
MAFbin8	5.9765e-02	2.7132e-01	7.8758e-01	4.5398e+00	1.3178e+01	5.8402e-01
MAFbin9	6.0284e-02	1.6053e-01	2.6174e-01	2.6628e+00	4.3418e+00	6.8814e-01
MAFbin10	5.8711e-02	5.6221e-01	6.4693e-01	9.5758e+00	1.1019e+01	3.6853e-01
MAF_Adj_Predicted_Allele_Age	2.0228e-06	-7.9365e-01	1.5887e+00	-3.9234e+05	7.8536e+05	5.7178e-01
MAF_Adj_LLD_AFR	1.6675e-03	-1.2412e+00	6.7421e-01	-7.4434e+02	4.0433e+02	7.6239e-02
Recomb_Rate_10kb	1.5151e+00	5.4348e+00	6.8649e+00	3.5870e+00	4.5309e+00	4.9473e-01
Nucleotide_Diversity_10kb	4.4496e+00	2.4014e+00	1.6909e+00	5.3970e-01	3.8000e-01	4.9864e-02
Backgrd_Selection_Stat	1.8503e-01	4.4278e-02	1.1870e-01	2.3930e-01	6.4150e-01	2.9240e-01
CpG_Content_50kb	1.0097e-02	1.3766e-02	4.8223e-03	1.3634e+00	4.7759e-01	7.5336e-02

---

File: Phe_153_enrichment.results
Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p
020222_ATAC_Stim_TNFa	6.3614e-03	2.1642e-01	4.6324e-01	3.4021e+01	7.2820e+01	5.9038e-01
020222_ATAC_Stim_UT	6.4117e-03	-5.1798e-02	4.2919e-01	-8.0788e+00	6.6939e+01	8.8680e-01
ASoC_TNFa_11samp_WGS	5.5855e-04	1.9618e-02	1.3037e-01	3.5122e+01	2.3340e+02	8.8112e-01
ASoC_UT_11samp_WGS	4.8543e-04	-1.8826e-02	1.1516e-01	-3.8782e+01	2.3724e+02	8.6141e-01
MAFbin1	6.1034e-02	6.8814e-01	7.6796e-01	1.1275e+01	1.2582e+01	1.0937e-01
MAFbin2	5.9542e-02	-2.3968e-01	3.4903e-01	-4.0255e+00	5.8619e+00	2.6216e-01
MAFbin3	5.9394e-02	-1.8429e-01	3.1053e-01	-3.1028e+00	5.2283e+00	2.0930e-01
MAFbin4	6.0043e-02	7.1543e-02	3.9166e-01	1.1915e+00	6.5230e+00	9.7342e-01
MAFbin5	5.8625e-02	4.4987e-01	5.0989e-01	7.6738e+00	8.6975e+00	2.0366e-01
MAFbin6	5.9415e-02	-3.0642e-01	3.8434e-01	-5.1573e+00	6.4687e+00	5.2658e-02
MAFbin7	5.9469e-02	-1.3361e-01	2.3215e-01	-2.2467e+00	3.9036e+00	2.5607e-01
MAFbin8	5.9765e-02	1.9545e-01	4.0641e-01	3.2704e+00	6.8001e+00	6.8618e-01
MAFbin9	6.0284e-02	4.1195e-01	4.7154e-01	6.8336e+00	7.8221e+00	2.3616e-01
MAFbin10	5.8711e-02	-3.6365e-01	3.4364e-01	-6.1939e+00	5.8531e+00	6.3237e-02
MAF_Adj_Predicted_Allele_Age	2.0228e-06	-4.2681e-01	1.3200e+00	-2.1100e+05	6.5256e+05	7.4505e-01
MAF_Adj_LLD_AFR	1.6675e-03	-2.4722e-01	5.5538e-01	-1.4826e+02	3.3307e+02	6.7199e-01
Recomb_Rate_10kb	1.5151e+00	-6.5389e+00	8.4879e+00	-4.3158e+00	5.6021e+00	2.0896e-02
Nucleotide_Diversity_10kb	4.4496e+00	3.2742e+00	3.1952e+00	7.3583e-01	7.1808e-01	4.7924e-01
Backgrd_Selection_Stat	1.8503e-01	4.4445e-01	2.6888e-01	2.4020e+00	1.4531e+00	1.0603e-02
CpG_Content_50kb	1.0097e-02	1.5572e-02	5.1719e-03	1.5422e+00	5.1222e-01	5.8944e-02

---

File: Phe_208_enrichment.results
Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p
020222_ATAC_Stim_TNFa	6.3614e-03	2.2990e-01	2.4901e-01	3.6141e+01	3.9144e+01	2.8126e-01
020222_ATAC_Stim_UT	6.4117e-03	4.3746e-02	2.0575e-01	6.8228e+00	3.2090e+01	8.5643e-01
ASoC_TNFa_11samp_WGS	5.5855e-04	5.1810e-04	1.2418e-01	9.2757e-01	2.2232e+02	9.9974e-01
ASoC_UT_11samp_WGS	4.8543e-04	1.1362e-01	1.6007e-01	2.3406e+02	3.2975e+02	4.2145e-01
MAFbin1	6.1034e-02	-9.8527e-02	1.7708e-01	-1.6143e+00	2.9013e+00	3.0234e-01
MAFbin2	5.9542e-02	6.9958e-01	4.6564e-01	1.1749e+01	7.8204e+00	9.2351e-03
MAFbin3	5.9394e-02	-4.2891e-01	3.3914e-01	-7.2214e+00	5.7100e+00	1.0060e-03
MAFbin4	6.0043e-02	2.6343e-01	3.0729e-01	4.3873e+00	5.1179e+00	4.2729e-01
MAFbin5	5.8625e-02	5.4819e-01	4.2012e-01	9.3509e+00	7.1662e+00	8.2916e-03
MAFbin6	5.9415e-02	-2.3314e-01	2.9080e-01	-3.9240e+00	4.8945e+00	9.9526e-02
MAFbin7	5.9469e-02	5.3465e-02	1.4831e-01	8.9903e-01	2.4938e+00	9.6543e-01
MAFbin8	5.9765e-02	6.4696e-01	5.9604e-01	1.0825e+01	9.9731e+00	1.3389e-01
MAFbin9	6.0284e-02	-1.5812e-01	3.3239e-01	-2.6229e+00	5.5137e+00	4.2542e-01
MAFbin10	5.8711e-02	-3.0540e-01	2.7465e-01	-5.2017e+00	4.6780e+00	1.0433e-01
MAF_Adj_Predicted_Allele_Age	2.0228e-06	-2.7864e-01	8.9064e-01	-1.3775e+05	4.4029e+05	7.6531e-01
